Sub_Area,price_list,built_year_list,floor_list,bedroom_list,bathroom_list,area_list,distance_to_transport_list,facilities_list
ห้วยขวาง,7500000,2014.0,25.0,1,1,44.0,380.0,9.0
บางกะปิ,3882000,2022.0,14.0,1,1,37.5,1900.0,10.0
บางจาก,5200000,2019.0,14.0,1,1,35.0,320.0,10.0
จอมพล,3390000,2014.0,11.0,1,1,31.44,500.0,8.0
บางกะปิ,3579960,2022.0,20.0,1,1,33.0,1950.0,10.0
ถนนนราธิวาสราชนครินทร์,14500000,2009.0,30.0,2,2,147.0,520.0,6.0
บางนาเหนือ,3850000,1993.0,12.0,1,1,109.5,820.0,10.0
ห้วยขวาง,8780000,2018.0,30.0,2,2,55.0,20.0,7.0
พระโขนงใต้,2341000,2014.0,14.0,1,1,27.14,520.0,6.0
พร้อมพงษ์,9467850,2014.0,12.0,2,2,55.0,650.0,10.0
วงศ์สว่าง,2490000,2010.0,20.0,1,1,40.0,750.0,8.0
ชิดลม,15990000,2017.0,21.0,1,1,44.0,310.0,5.0
ยานนาวา,5800000,2014.0,19.0,1,1,37.33,580.0,9.0
บางจาก,6400000,2011.0,7.0,1,1,45.0,180.0,5.0
สีลม,21000000,2018.0,15.0,1,1,50.63,460.0,8.0
ชิดลม,15990000,2017.0,21.0,1,1,44.0,310.0,5.0
บางซ่อน,2850000,2017.0,22.0,1,1,44.0,780.0,8.0
บางจากภาษีเจริญ,3190000,2019.0,8.0,1,1,27.0,250.0,8.0
สีลม,7499999,2001.0,38.0,1,2,68.0,490.0,5.0
สุทธิสาร,4800000,2009.0,14.0,1,2,60.0,110.0,9.0
สุรศักดิ์,15000000,2020.0,14.0,2,2,78.0,440.0,10.0
สุขุมวิท,25604800,2020.0,7.0,2,2,82.08,800.0,10.0
สวนหลวง,3500000,1997.0,9.0,3,2,102.0,2120.0,10.0
ถนนจันทน์,2400000,2015.0,9.0,1,1,26.0,1780.0,10.0
พร้อมพงษ์,5100000,2012.0,6.0,1,1,42.81,1060.0,5.0
สุขุมวิท,3900000,2020.0,7.0,1,1,29.6,430.0,10.0
บางพลัด,3690000,2019.0,20.0,1,1,31.0,380.0,10.0
บางนาเหนือ,2950000,2010.0,9.0,1,1,30.5,100.0,7.0
จอมพล,4600000,2015.0,17.0,1,1,32.0,450.0,7.0
แยกบางโพ,12950000,2017.0,8.0,2,2,85.6,180.0,10.0
อรุณอมรินทร์,2650000,1999.0,10.0,1,1,56.01,1130.0,6.0
ประดิพัทธ์,8100000,2019.0,11.0,1,1,38.95,480.0,9.0
จอมพล,3590000,2017.0,18.0,1,1,30.0,880.0,10.0
พร้อมพงษ์,11800000,2012.0,12.0,1,1,52.0,400.0,7.0
ถนนจันทน์,2950000,2015.0,20.0,1,1,32.0,1780.0,5.0
บางอ้อ,2650000,2014.0,23.0,1,1,30.63,260.0,4.0
ทองหล่อ,13200000,2012.0,7.0,1,1,53.39,520.0,10.0
ทองหล่อ,5200000,2015.0,7.0,1,1,50.0,360.0,4.0
จอมพล,3490000,2013.0,33.0,1,1,38.5,350.0,10.0
วงเวียนใหญ่,2180000,2009.0,3.0,1,1,32.7,260.0,4.0
