Sub_Area,price_list,built_year_list,floor_list,bedroom_list,bathroom_list,area_list,distance_to_transport_list,facilities_list
พหลโยธิน,3650000,2018.0,30.0,1,1,30.5,160.0,10.0
สะพานตากสิน,8900000,2012.0,7.0,1,1,54.0,510.0,10.0
ทองหล่อ,15000000,2017.0,10.0,2,2,78.0,350.0,10.0
คลองสาน,6100000,2021.0,24.0,1,1,55.0,1130.0,10.0
แยกบางโพ,2500000,2013.0,21.0,1,1,29.5,220.0,5.0
วงศ์สว่าง,10000000,2012.0,50.0,2,3,117.0,1460.0,8.0
รัชโยธิน,5900000,2019.0,12.0,1,1,34.8,250.0,9.0
สุรศักดิ์,8500000,2016.0,50.0,1,1,49.98,420.0,4.0
บางจาก,2830000,2011.0,4.0,1,1,35.0,180.0,4.0
ถนนพญาไท,14300000,2014.0,50.0,2,2,65.88,230.0,8.0
ราชเทวี,8700000,2010.0,4.0,2,2,74.0,130.0,7.0
สุขุมวิท,6491000,2014.0,17.0,1,1,35.0,180.0,10.0
วงศ์สว่าง,2930000,2018.0,12.0,1,1,32.0,130.0,10.0
จอมพล,6590000,2015.0,18.0,2,2,56.12,450.0,7.0
พร้อมพงษ์,26000000,1993.0,19.0,4,3,290.55,540.0,5.0
รัชโยธิน,4390000,2013.0,8.0,1,1,45.3,60.0,7.0
ตลาดพลู,4660000,2022.0,20.0,2,2,57.5,400.0,10.0
สุขุมวิท,4000000,2011.0,25.0,1,1,33.0,220.0,10.0
อารีย์,11904000,2022.0,17.0,2,1,44.7,160.0,10.0
บางจาก,2100000,2014.0,5.0,1,1,30.45,670.0,5.0
บางซ่อน,3400000,2017.0,20.0,1,1,43.25,1200.0,8.0
สุขุมวิท,5665000,2014.0,18.0,1,1,31.15,220.0,8.0
พร้อมพงษ์,4800000,2014.0,5.0,1,1,35.0,400.0,7.0
บางขุนศรี,2700000,2015.0,17.0,1,1,22.0,770.0,10.0
พร้อมพงษ์,18000000,2014.0,12.0,3,2,93.29,530.0,9.0
กรุงธนบุรี,4200000,2010.0,24.0,1,1,37.45,110.0,5.0
สุขุมวิท,8080000,2021.0,1.0,1,1,37.0,460.0,10.0
พร้อมพงษ์,5500000,2009.0,5.0,1,1,44.0,590.0,7.0
วัดพระยาไกร,9785000,2016.0,14.0,1,1,50.51,1640.0,10.0
ห้วยขวาง,8900000,2015.0,18.0,2,2,52.16,260.0,10.0
ดินแดง,7900000,2006.0,7.0,2,2,86.0,270.0,8.0
สุขุมวิท,5000000,2017.0,7.0,1,1,29.7,1160.0,11.0
มักกะสัน,7700000,2013.0,28.0,1,1,48.0,260.0,10.0
เสนานิคม,2100000,2014.0,6.0,1,1,24.3,1120.0,2.0
ประชาชื่น,2590000,2016.0,17.0,1,1,30.25,1470.0,8.0
พระราม 9,2921286,2020.0,15.0,1,1,26.0,360.0,10.0
สามเสนนอก,2350000,2013.0,7.0,1,1,41.25,1400.0,2.0
ทุ่งมหาเมฆ,43000000,2012.0,20.0,1,2,122.0,680.0,4.0
สุรวงศ์,10070000,2016.0,30.0,1,1,36.0,400.0,10.0
ห้วยขวาง,3530000,2017.0,15.0,1,2,25.32,260.0,9.0
บางกะปิ,2759000,2020.0,3.0,1,1,31.5,1820.0,6.0
จอมพล,2690000,2015.0,8.0,1,1,30.33,1230.0,8.0
ทองหล่อ,14500000,2014.0,8.0,1,1,56.0,680.0,5.0
สี่พระยา,8476000,2021.0,21.0,1,1,46.1,730.0,6.0
บางซื่อ,2100000,2014.0,2.0,1,1,28.0,760.0,5.0
ปากคลองภาษีเจริญ,2100000,2015.0,15.0,1,1,30.0,190.0,5.0
บางจาก,3800000,2020.0,25.0,1,1,27.5,180.0,10.0
บางจาก,2780000,2011.0,4.0,1,1,35.0,180.0,4.0
วงเวียนใหญ่,3480000,2011.0,4.0,1,1,36.77,110.0,6.0
วัดพระยาไกร,19587629,2017.0,24.0,3,2,122.0,1000.0,11.0
วงศ์สว่าง,3200000,2015.0,33.0,1,1,31.0,200.0,7.0
ทองหล่อ,4500000,2017.0,17.0,1,1,25.0,350.0,10.0
บางอ้อ,3500000,2009.0,7.0,2,1,90.25,610.0,8.0
สีลม,16000000,2018.0,9.0,1,1,57.0,460.0,8.0
บางหว้า,3150000,2020.0,3.0,2,1,48.1,80.0,10.0
พระราม 9,4500000,2010.0,7.0,2,2,52.1,470.0,6.0
ยานนาวา,8500000,2008.0,27.0,1,1,67.0,860.0,9.0
คลองสาน,4100000,2021.0,20.0,1,1,34.09,1130.0,10.0
คลองต้นไทร,9000000,2013.0,28.0,2,2,74.0,460.0,10.0
พร้อมพงษ์,19000000,2012.0,6.0,2,2,111.0,530.0,7.0
บุคคโล,3200000,2015.0,22.0,1,1,47.0,470.0,7.0
บางจาก,2099999,2014.0,4.0,1,1,30.0,670.0,9.0
วัดพระยาไกร,2590000,2020.0,8.0,1,1,28.0,1430.0,8.0
พร้อมพงษ์,22000000,2018.0,21.0,2,2,83.06,370.0,10.0
พร้อมพงษ์,6800000,2018.0,30.0,1,1,30.0,670.0,10.0
พร้อมพงษ์,3207000,1994.0,19.0,1,1,50.0,1260.0,8.0
สุขุมวิท,3608000,2013.0,8.0,1,1,28.0,380.0,10.0
พระโขนงเหนือ,3650000,2015.0,30.0,1,1,30.0,820.0,8.0
สามเสนใน,2600000,2005.0,10.0,1,1,30.5,590.0,8.0
สวนจตุจักร,7200000,2020.0,29.0,1,1,44.0,570.0,10.0
บางค้อ,2820000,2016.0,23.0,1,1,30.77,290.0,9.0
บางค้อ,5500000,2015.0,21.0,2,2,56.0,130.0,10.0
ราชพฤกษ์,2200000,2014.0,20.0,1,1,32.0,800.0,10.0
พร้อมพงษ์,25000000,2020.0,26.0,3,3,145.0,1160.0,12.0
จอมพล,2460000,2014.0,4.0,1,1,30.86,960.0,4.0
บ้านช่างหล่อ,2600000,2019.0,4.0,1,1,26.39,360.0,9.0
จันทรเกษม,3370000,2014.0,8.0,1,1,30.0,1470.0,8.0
สามเสนนอก,2490000,2019.0,2.0,1,1,27.0,1390.0,5.0
พระโขนงใต้,2390000,2017.0,2.0,1,1,30.0,610.0,12.0
บางกะปิ,3300000,2015.0,18.0,1,1,38.0,1150.0,11.0
ลุมพินี,7987500,2008.0,24.0,2,2,87.0,190.0,4.0
บางจาก,2200000,2019.0,5.0,1,1,25.0,660.0,10.0
ลุมพินี,10900000,2009.0,9.0,2,2,112.0,170.0,10.0
เพชรรามา,4800000,2017.0,14.0,1,1,27.0,340.0,10.0
หัวหมาก,3800000,2019.0,18.0,1,1,33.02,770.0,8.0
ประชาชื่น,3400000,2017.0,18.0,1,1,39.12,450.0,9.0
วิทยุ,19900000,2010.0,23.0,2,2,114.0,610.0,7.0
บางหว้า,2500000,2015.0,50.0,1,1,35.0,400.0,5.0
ทองหล่อ,13310000,2020.0,11.0,1,1,43.25,90.0,10.0
พระราม 4,9270000,2013.0,14.0,1,1,63.0,290.0,12.0
สุขุมวิท,8000000,2013.0,23.0,1,1,59.33,380.0,10.0
จอมพล,4000000,2020.0,12.0,1,1,26.0,100.0,10.0
สุขุมวิท,7500000,2016.0,4.0,1,1,46.0,390.0,8.0
พระโขนงใต้,3700000,2009.0,4.0,1,1,50.0,880.0,4.0
ถนนนราธิวาสราชนครินทร์,11850000,2016.0,34.0,2,2,66.0,740.0,10.0
พระราม 9,6590000,2020.0,14.0,1,1,32.0,70.0,10.0
เพชรรามา,11000000,1998.0,8.0,3,2,91.0,610.0,2.0
บางยี่ขัน,2390000,2014.0,2.0,1,1,31.0,120.0,10.0
ห้วยขวาง,4350000,2016.0,7.0,1,1,31.0,140.0,6.0
บางค้อ,2290000,2016.0,29.0,1,1,21.0,290.0,9.0
บางหว้า,3900000,2020.0,12.0,2,1,51.0,1780.0,10.0
บางค้อ,2900000,2014.0,20.0,1,1,30.46,100.0,7.0
บางจาก,2450000,2014.0,10.0,1,1,36.0,400.0,8.0
คลองต้นไทร,3300000,2013.0,28.0,1,1,30.0,460.0,10.0
สุขุมวิท,4300000,2019.0,12.0,1,1,32.0,1170.0,10.0
พร้อมพงษ์,5800000,2009.0,10.0,1,1,50.0,600.0,8.0
เสนานิคม,3050000,2019.0,4.0,2,1,34.9,680.0,7.0
บางค้อ,3400000,2015.0,16.0,2,1,45.6,530.0,10.0
ห้วยขวาง,3990000,2014.0,18.0,1,1,38.8,440.0,7.0
รามคำแหง,2200000,2015.0,19.0,1,1,30.51,1710.0,7.0
บางจากภาษีเจริญ,2475000,2009.0,4.0,1,1,34.81,290.0,7.0
สุรศักดิ์,9500000,2016.0,11.0,1,1,46.78,420.0,10.0
จันทรเกษม,2400000,2014.0,4.0,1,1,33.0,600.0,3.0
อโศก,9000000,1996.0,28.0,1,1,80.0,370.0,5.0
สวนหลวง,2198000,1997.0,27.0,1,1,30.4,2120.0,10.0
จอมพล,2800000,2013.0,21.0,1,1,32.0,590.0,10.0
เสนานิคม,2250000,2011.0,8.0,1,1,34.0,690.0,7.0
บางบำหรุ,2680000,1997.0,11.0,1,1,45.9,160.0,10.0
สวนจตุจักร,4999999,2020.0,9.0,1,1,38.0,600.0,10.0
มักกะสัน,9900000,2012.0,7.0,2,2,66.0,160.0,5.0
ตลาดพลู,2550000,2013.0,12.0,1,1,33.0,310.0,7.0
บางจาก,3500000,2018.0,15.0,1,1,25.53,180.0,8.0
พร้อมพงษ์,3600000,2013.0,4.0,1,1,42.0,1380.0,2.0
ถนนเพชรบุรี,21480000,2021.0,27.0,2,2,69.0,350.0,6.0
ชิดลม,14900000,2009.0,6.0,2,2,79.0,510.0,6.0
พร้อมพงษ์,6500000,2009.0,9.0,1,1,50.0,330.0,7.0
ถนนจันทน์,3500000,2015.0,29.0,1,1,32.55,1780.0,5.0
ประดิพัทธ์,3100000,2013.0,21.0,1,1,30.12,720.0,7.0
บางนาเหนือ,2250000,2017.0,5.0,1,1,21.46,360.0,10.0
ราชพฤกษ์,2179000,2014.0,9.0,1,1,28.49,800.0,8.0
บางจาก,2300000,2014.0,4.0,1,1,30.45,670.0,6.0
บางหว้า,3290000,2020.0,14.0,1,1,35.0,110.0,10.0
ราชพฤกษ์,2179000,2014.0,9.0,1,1,28.49,800.0,8.0
เอกมัย,5400000,2013.0,11.0,1,1,28.6,290.0,10.0
ลาดพร้าว,2390000,2017.0,4.0,1,1,30.27,2280.0,10.0
บางแคเหนือ,2500000,2018.0,12.0,1,1,31.0,510.0,10.0
บางขุนศรี,2800000,2015.0,11.0,1,1,23.0,770.0,10.0
สะพานตากสิน,12900000,2012.0,12.0,2,2,78.0,450.0,6.0
ทองหล่อ,5500000,2017.0,4.0,1,1,40.35,1610.0,7.0
พร้อมพงษ์,8700000,2014.0,5.0,2,2,68.47,510.0,5.0
ทองหล่อ,13500000,2012.0,19.0,2,2,70.0,370.0,10.0
ลาซาล,3600000,2016.0,9.0,1,1,30.14,340.0,6.0
บุคคโล,3600000,2017.0,28.0,1,2,30.63,370.0,6.0
สำเหร่,3400000,2013.0,20.0,1,1,38.0,1520.0,10.0
พร้อมพงษ์,7990000,2020.0,8.0,2,2,85.0,1160.0,8.0
ถนนนราธิวาสราชนครินทร์,5800000,2014.0,21.0,1,1,38.0,650.0,10.0
มักกะสัน,5550000,2012.0,10.0,1,1,47.59,570.0,10.0
จอมพล,3260000,2019.0,14.0,1,1,32.5,650.0,10.0
สวนจตุจักร,3485000,2022.0,16.0,1,1,37.0,540.0,10.0
ทองหล่อ,7800000,2010.0,5.0,1,1,43.0,1550.0,8.0
คลองสาน,4850000,2021.0,20.0,1,1,34.29,1130.0,10.0
ทองหล่อ,15500000,2012.0,24.0,2,2,71.0,370.0,7.0
อโศก,14600000,2018.0,50.0,2,2,57.0,520.0,10.0
บางลำภูล่าง,20000000,2016.0,25.0,3,3,145.0,1170.0,10.0
พระราม 9,6390000,2015.0,17.0,1,1,43.0,510.0,9.0
จอมพล,4500000,2013.0,17.0,1,1,43.0,350.0,7.0
วัดท่าพระ,2100000,2022.0,8.0,1,1,28.0,640.0,10.0
รามคำแหง,3300000,2013.0,18.0,2,1,46.0,1570.0,4.0
อโศก,8400000,2017.0,21.0,1,1,31.0,70.0,8.0
เพลินจิต,23000000,2017.0,10.0,2,2,80.0,120.0,10.0
พระโขนงใต้,6000000,2013.0,9.0,1,1,45.0,200.0,7.0
ทองหล่อ,8000000,2018.0,5.0,2,2,58.07,800.0,10.0
วงศ์สว่าง,2250000,2016.0,12.0,1,1,26.0,140.0,5.0
ดาวคะนอง,5000000,2014.0,11.0,2,2,54.0,90.0,10.0
สามย่าน,6495000,2018.0,29.0,1,1,24.5,150.0,9.0
ห้วยขวาง,5190000,2019.0,5.0,2,1,46.28,1010.0,10.0
ประดิพัทธ์,7500000,2019.0,20.0,2,1,50.0,480.0,9.0
บางโคล่,3500000,2015.0,7.0,1,1,49.0,1940.0,6.0
รัชโยธิน,2790000,2011.0,17.0,1,1,28.5,160.0,10.0
มักกะสัน,4500000,2007.0,16.0,2,1,67.0,650.0,5.0
ดินแดง,2150000,2012.0,3.0,1,1,27.5,420.0,9.0
ลาซาล,2200000,2019.0,4.0,1,1,26.0,490.0,10.0
ทองหล่อ,15500000,2020.0,7.0,1,1,42.0,1050.0,10.0
จอมพล,4390000,2018.0,39.0,1,1,26.0,460.0,10.0
บางจาก,2890000,2019.0,3.0,1,1,29.5,660.0,6.0
ประชาชื่น,2100000,2016.0,12.0,1,1,30.4,1470.0,8.0
สุขุมวิท,5700000,2012.0,3.0,1,1,35.0,120.0,5.0
จอมพล,4500000,2010.0,18.0,1,1,47.0,440.0,8.0
สุขุมวิท,7388700,2014.0,8.0,2,2,67.17,1280.0,9.0
สามเสนนอก,5200000,2011.0,7.0,1,1,45.0,170.0,7.0
สุขุมวิท,6400000,2012.0,4.0,1,1,42.95,80.0,6.0
วงศ์สว่าง,2450000,2010.0,6.0,1,1,35.74,750.0,10.0
สวนหลวง,2100000,2013.0,23.0,1,1,29.5,380.0,10.0
สามย่าน,6300000,2016.0,28.0,1,1,33.27,420.0,7.0
สุขุมวิท,68000000,2007.0,8.0,4,5,450.0,660.0,6.0
พระราม 4,20190000,2022.0,31.0,3,3,106.0,300.0,10.0
สุรศักดิ์,6500000,2013.0,12.0,1,1,35.0,220.0,7.0
สีลม,14000000,2010.0,12.0,1,1,61.0,420.0,7.0
เอกมัย,11800000,2011.0,27.0,1,1,63.0,260.0,10.0
สุขุมวิท,6500000,2010.0,12.0,1,1,65.0,260.0,7.0
รามคำแหง,5900000,2019.0,12.0,2,2,49.96,950.0,10.0
จอมพล,2790000,2012.0,4.0,2,1,58.14,1020.0,4.0
บางจากภาษีเจริญ,4250000,2014.0,17.0,1,1,30.0,210.0,10.0
กรุงธนบุรี,6390000,2010.0,12.0,1,1,53.0,190.0,10.0
เอกมัย,9800000,2013.0,16.0,1,1,46.0,930.0,10.0
สุขุมวิท,8300000,2013.0,9.0,2,2,65.5,1270.0,9.0
สวนหลวง,2350000,2014.0,2.0,1,1,33.0,1710.0,5.0
ทองหล่อ,12000000,1995.0,17.0,2,1,93.0,1400.0,4.0
ห้วยขวาง,3290000,2014.0,18.0,1,1,31.0,440.0,7.0
พร้อมพงษ์,8763000,2009.0,7.0,1,1,50.0,750.0,11.0
จอมพล,3180000,2015.0,20.0,1,1,32.5,450.0,7.0
บางจาก,3350000,2018.0,7.0,1,1,28.28,370.0,10.0
สามเสนใน,2750000,2012.0,5.0,1,1,28.72,360.0,6.0
บางจาก,2650000,2011.0,7.0,1,1,35.0,180.0,4.0
พร้อมพงษ์,10500000,2012.0,8.0,1,1,50.0,270.0,6.0
สุขุมวิท,6900000,2013.0,24.0,1,1,59.0,380.0,9.0
เพลินจิต,26500000,2017.0,23.0,2,2,90.0,120.0,10.0
เอกมัย,6000000,2010.0,6.0,1,2,61.48,350.0,7.0
บางจาก,2100000,2014.0,8.0,1,1,30.0,590.0,10.0
เพลินจิต,6180000,2020.0,10.0,1,1,35.0,540.0,10.0
วัดท่าพระ,6500000,2018.0,18.0,2,2,63.0,200.0,8.0
พร้อมพงษ์,6800000,2014.0,17.0,1,1,35.78,250.0,6.0
สวนหลวง,2990000,2016.0,10.0,1,1,30.0,720.0,8.0
ประดิพัทธ์,5300000,2012.0,39.0,1,1,45.45,720.0,7.0
สุขุมวิท,8300000,2015.0,41.0,1,1,53.0,250.0,7.0
บางจาก,4000000,2014.0,6.0,2,1,45.0,760.0,10.0
รามคำแหง,2990000,2021.0,7.0,1,1,29.0,1080.0,10.0
มักกะสัน,11000000,2007.0,29.0,2,2,112.0,650.0,5.0
บางกะปิ,21500000,2013.0,8.0,2,2,187.0,2320.0,8.0
วงศ์สว่าง,3990000,2016.0,25.0,2,1,45.0,140.0,5.0
บ้านช่างหล่อ,3900000,2014.0,10.0,1,1,38.08,900.0,8.0
พระราม 9,6800000,2017.0,15.0,1,1,40.0,450.0,8.0
พระโขนงใต้,3960258,2018.0,4.0,1,1,29.0,400.0,8.0
ทุ่งมหาเมฆ,12000000,2016.0,16.0,2,2,96.0,910.0,10.0
บางนาเหนือ,3400000,2010.0,18.0,1,1,30.5,100.0,10.0
ลุมพินี,9500000,2008.0,20.0,1,2,87.0,220.0,4.0
บางซ่อน,2200000,2017.0,7.0,1,1,31.27,430.0,8.0
เพลินจิต,9800000,2013.0,2.0,1,1,58.0,690.0,5.0
หัวหมาก,6500000,2019.0,18.0,2,1,50.0,770.0,8.0
จอมพล,3100000,2019.0,18.0,1,1,32.5,650.0,7.0
บางค้อ,3500000,2015.0,14.0,2,1,44.0,530.0,8.0
โชคชัย 4,2050000,2018.0,7.0,1,1,25.29,2320.0,10.0
พญาไท,6200000,2015.0,27.0,1,1,44.0,380.0,7.0
สุขุมวิท,21500000,2006.0,27.0,3,3,132.0,380.0,10.0
พร้อมพงษ์,20000000,2009.0,8.0,2,3,128.0,780.0,10.0
มักกะสัน,6500000,2013.0,26.0,1,1,52.0,260.0,10.0
ห้วยขวาง,2350000,2011.0,8.0,1,1,32.18,980.0,8.0
บางแคเหนือ,2450000,2015.0,8.0,1,1,32.0,80.0,5.0
สวนหลวง,2250000,2013.0,9.0,1,1,30.31,890.0,5.0
ดินแดง,2290000,2015.0,6.0,1,1,26.69,430.0,7.0
สามเสนนอก,2500000,2014.0,8.0,1,1,35.0,1200.0,8.0
พระโขนงใต้,3200000,2019.0,2.0,1,1,25.7,950.0,10.0
ดินแดง,7900000,2006.0,5.0,2,2,86.0,270.0,9.0
สุขุมวิท,5555555,2017.0,12.0,1,1,35.49,1160.0,10.0
บางกะปิ,4150000,2019.0,18.0,1,1,42.0,1780.0,10.0
สามเสนนอก,2100000,2013.0,8.0,1,1,29.0,900.0,9.0
พร้อมพงษ์,3000000,2017.0,4.0,1,1,24.0,400.0,7.0
เจริญผล,11715000,2011.0,7.0,2,2,70.0,180.0,7.0
วัดท่าพระ,2690000,2016.0,5.0,1,1,31.8,430.0,10.0
อารีย์,3899000,2016.0,8.0,1,1,35.7,440.0,8.0
ราชเทวี,7000000,2010.0,7.0,1,1,49.0,130.0,9.0
สามเสนใน,3300000,2018.0,5.0,1,1,34.0,1080.0,6.0
จอมพล,3650000,2013.0,20.0,1,1,38.0,350.0,10.0
ราชพฤกษ์,2288000,2013.0,8.0,1,1,37.0,30.0,10.0
สวนหลวง,2100000,2014.0,5.0,1,1,32.0,1710.0,7.0
สีลม,12247500,2013.0,10.0,2,2,66.0,430.0,9.0
พร้อมพงษ์,8900000,2014.0,6.0,2,2,66.0,410.0,5.0
วงศ์สว่าง,2049000,2015.0,20.0,1,1,30.0,200.0,6.0
รัชโยธิน,4800000,2014.0,8.0,1,2,46.0,290.0,2.0
จอมพล,6695000,2021.0,35.0,1,1,28.8,180.0,10.0
สวนจตุจักร,2590000,2012.0,3.0,1,1,32.0,740.0,4.0
สุขุมวิท,5950000,2016.0,9.0,1,1,35.0,220.0,8.0
สามเสนนอก,2100000,2019.0,3.0,1,1,27.0,1310.0,6.0
พร้อมพงษ์,3350000,1994.0,12.0,1,1,49.5,1260.0,5.0
สีลม,10300000,2011.0,3.0,2,1,60.0,350.0,6.0
ทองหล่อ,6590000,2017.0,7.0,1,1,33.3,350.0,10.0
เสนานิคม,3200000,2014.0,4.0,2,1,52.0,790.0,7.0
บางอ้อ,2629000,2014.0,14.0,1,1,30.0,260.0,8.0
ถนนจันทน์,2200000,2015.0,9.0,1,1,26.0,1780.0,5.0
ทุ่งวัดดอน,13200000,2016.0,23.0,2,2,67.0,1460.0,8.0
จรัญสนิทวงศ์,2590000,2020.0,11.0,1,1,26.0,260.0,10.0
เพชรรามา,7000000,2014.0,14.0,1,1,34.0,360.0,12.0
พระราม 9,4378000,2016.0,11.0,1,1,33.0,450.0,12.0
ตลาดพลู,3150000,2021.0,19.0,1,1,31.05,250.0,10.0
สามเสนนอก,2190000,2013.0,4.0,1,1,30.34,900.0,6.0
ลาดพร้าว,3000000,2017.0,8.0,1,1,34.4,2160.0,7.0
พร้อมพงษ์,18000000,1996.0,8.0,3,4,263.0,460.0,4.0
สามเสนนอก,2200000,2013.0,4.0,1,1,30.0,900.0,5.0
จอมพล,6990000,2018.0,17.0,1,1,33.59,460.0,10.0
สุขุมวิท,7500000,2014.0,8.0,2,2,51.93,400.0,8.0
สุขุมวิท,44840000,2004.0,13.0,3,4,236.0,400.0,7.0
ราชพฤกษ์,4890000,2018.0,35.0,1,1,32.48,170.0,9.0
ตลาดพลู,6500000,2019.0,50.0,3,2,63.0,470.0,6.0
บางกะปิ,7400000,2015.0,8.0,2,2,59.0,1410.0,4.0
ปากคลองภาษีเจริญ,2490000,2015.0,8.0,1,1,29.84,190.0,6.0
โชคชัย 4,2990000,2018.0,7.0,2,1,37.89,2320.0,10.0
บุคคโล,2800000,2015.0,27.0,1,1,21.0,470.0,10.0
ลาดพร้าว,2100000,2016.0,8.0,1,1,26.0,2200.0,10.0
แยกบางโพ,2500000,2014.0,39.0,1,1,30.0,480.0,12.0
พร้อมพงษ์,2650000,2011.0,5.0,1,1,28.0,300.0,7.0
นานา,21000000,2007.0,20.0,3,3,185.0,660.0,6.0
เพลินจิต,15450000,2017.0,35.0,1,1,52.0,120.0,10.0
บางค้อ,3000000,2015.0,19.0,1,1,33.0,130.0,9.0
สามเสนใน,2500000,2005.0,14.0,1,1,30.0,590.0,8.0
วงศ์สว่าง,4100000,2015.0,21.0,2,2,50.0,200.0,6.0
บางจาก,2950000,2013.0,3.0,1,1,47.0,730.0,8.0
จอมพล,4690000,2020.0,5.0,2,2,59.0,880.0,8.0
คลองสาน,3999000,2021.0,18.0,1,1,34.5,1130.0,10.0
จอมพล,28000000,2014.0,41.0,3,3,178.0,500.0,10.0
ห้วยขวาง,5100000,2012.0,4.0,2,2,85.0,290.0,3.0
ห้วยขวาง,3750000,2016.0,9.0,1,1,27.0,140.0,6.0
สวนหลวง,2200000,2014.0,7.0,1,1,33.0,1710.0,7.0
วงศ์สว่าง,2490000,2015.0,20.0,1,1,30.2,200.0,6.0
บางหว้า,2200000,2013.0,3.0,1,1,25.12,50.0,9.0
ตลาดพลู,5400000,2022.0,16.0,2,2,57.5,400.0,10.0
บางกะปิ,3800000,2017.0,17.0,1,1,35.0,1820.0,10.0
วัดท่าพระ,2700000,2018.0,10.0,1,1,27.4,200.0,8.0
สวนจตุจักร,4000000,2012.0,25.0,1,1,62.0,790.0,10.0
ห้วยขวาง,3650000,2010.0,15.0,1,1,37.0,660.0,10.0
วงศ์สว่าง,4600000,2018.0,3.0,2,1,49.0,130.0,10.0
จอมพล,4390000,2020.0,41.0,1,1,29.0,100.0,10.0
พร้อมพงษ์,4800000,2009.0,8.0,1,1,34.0,590.0,10.0
เสนานิคม,9400000,2010.0,26.0,3,3,143.99,460.0,10.0
เตาปูน,3390000,2020.0,35.0,1,1,28.0,120.0,10.0
พร้อมพงษ์,7000000,1999.0,39.0,2,1,62.0,570.0,7.0
อโศก,12800000,2018.0,28.0,1,1,45.0,520.0,10.0
ลาดยาว,5600000,2014.0,9.0,2,1,46.0,510.0,9.0
บางซ่อน,3000000,2017.0,12.0,1,1,44.0,430.0,8.0
พร้อมพงษ์,7000000,1999.0,39.0,2,1,62.0,570.0,7.0
สุขุมวิท,5000000,2009.0,4.0,1,1,46.0,300.0,8.0
ทองหล่อ,5450000,2018.0,8.0,1,1,29.0,790.0,10.0
พร้อมพงษ์,6990000,2013.0,5.0,1,1,32.0,200.0,7.0
จันทรเกษม,2500000,2012.0,2.0,2,1,60.0,1090.0,6.0
ดินแดง,4520000,2015.0,27.0,1,1,34.81,440.0,6.0
พร้อมพงษ์,16715250,2007.0,18.0,2,2,95.0,290.0,5.0
ทุ่งมหาเมฆ,46000000,2012.0,12.0,2,2,134.33,680.0,10.0
สุขุมวิท,13500000,2018.0,6.0,2,2,62.0,440.0,7.0
ทองหล่อ,6798000,2017.0,8.0,1,1,33.0,190.0,10.0
พร้อมพงษ์,13900000,2014.0,16.0,2,2,72.0,530.0,10.0
สีลม,6400000,2013.0,4.0,1,1,40.0,290.0,9.0
พร้อมพงษ์,12900000,2009.0,8.0,2,2,126.0,680.0,7.0
สวนหลวง,2700000,2018.0,31.0,1,1,26.0,330.0,10.0
ทุ่งมหาเมฆ,6000000,2013.0,11.0,1,1,46.46,940.0,10.0
ทองหล่อ,17040000,2005.0,16.0,2,2,92.0,1020.0,7.0
บางจาก,2580000,2019.0,5.0,1,1,29.0,660.0,6.0
บางบำหรุ,3000000,1997.0,16.0,2,1,48.0,300.0,10.0
สุขุมวิท,3350000,2013.0,4.0,1,1,35.0,400.0,8.0
สุขุมวิท,13260000,2013.0,8.0,2,1,102.0,540.0,3.0
พร้อมพงษ์,5400000,2009.0,4.0,1,1,37.0,590.0,9.0
จอมพล,3250000,2014.0,6.0,1,1,28.73,320.0,7.0
บางหว้า,5150000,2010.0,35.0,2,1,70.0,200.0,6.0
ตลาดพลู,2201065,2022.0,10.0,1,1,29.85,120.0,5.0
จอมพล,3000000,2014.0,5.0,1,1,30.0,320.0,7.0
บางหว้า,2570000,2020.0,9.0,1,1,45.0,250.0,10.0
สุขุมวิท,18500000,1994.0,27.0,3,3,198.0,1280.0,2.0
สุขุมวิท,5290000,2012.0,4.0,1,1,43.0,590.0,4.0
สุขุมวิท,7200000,2020.0,6.0,1,1,41.5,320.0,6.0
กล้วยน้ำไท,2200000,2011.0,4.0,1,1,28.0,780.0,8.0
จอมพล,4850000,2015.0,14.0,1,1,32.14,450.0,7.0
บางกะปิ,11476500,2019.0,8.0,3,2,100.0,990.0,10.0
บางซ่อน,4490000,2015.0,26.0,2,1,50.0,280.0,9.0
สุขุมวิท,14000000,2019.0,4.0,2,2,64.0,1290.0,9.0
ห้วยขวาง,5213333,2020.0,4.0,2,1,41.0,980.0,8.0
พร้อมพงษ์,5300000,2014.0,4.0,1,1,35.0,410.0,7.0
พร้อมพงษ์,18500000,2018.0,24.0,1,1,57.57,370.0,10.0
สุขุมวิท,3600000,2008.0,7.0,1,1,32.0,1130.0,6.0
จอมพล,4200000,2013.0,24.0,1,1,40.11,950.0,11.0
พร้อมพงษ์,8000000,2016.0,4.0,1,1,54.0,580.0,9.0
อโศก,8800000,2014.0,19.0,2,2,85.0,540.0,8.0
บุคคโล,3200000,2015.0,22.0,1,1,31.0,470.0,10.0
พระโขนงใต้,5270737,2014.0,8.0,2,1,46.0,920.0,2.0
พร้อมพงษ์,31280000,2014.0,16.0,3,4,184.0,530.0,10.0
บางกะปิ,3195000,2015.0,4.0,1,1,42.0,1150.0,10.0
จันทรเกษม,2750000,2011.0,4.0,1,1,39.05,820.0,6.0
พระโขนงเหนือ,6000000,2016.0,3.0,1,1,48.0,970.0,7.0
พระราม 4,3800000,2012.0,20.0,1,1,28.0,820.0,10.0
